Date,Open,High,Low,Close,Adj Close,Volume
2021-06-14,42.200001,42.639999,42.130001,42.220001,40.383461,223706
2021-06-15,42.259998,42.369999,41.290001,41.380001,39.580002,276027
2021-06-16,39.580002,39.830002,39.130001,39.459999,39.459999,328934
2021-06-17,39.330002,39.330002,38.720001,39.150002,39.150002,203081
2021-06-18,39.209999,39.400002,38.430000,38.639999,38.639999,854113
2021-06-21,38.779999,38.799999,37.950001,38.290001,38.290001,233179
2021-06-22,38.349998,38.439999,38.020000,38.049999,38.049999,168160
2021-06-23,38.139999,38.250000,37.860001,37.860001,37.860001,211561
2021-06-24,37.959999,38.279999,37.880001,38.169998,38.169998,151472
2021-06-25,38.340000,38.770000,38.139999,38.480000,38.480000,190081
2021-06-28,38.540001,38.680000,38.060001,38.119999,38.119999,158430
2021-06-29,38.119999,38.270000,37.500000,37.500000,37.500000,186124
2021-06-30,37.439999,37.700001,37.139999,37.490002,37.490002,200109
2021-07-01,37.619999,38.020000,37.320000,37.439999,37.439999,288431
2021-07-02,37.590000,37.840000,37.240002,37.270000,37.270000,140990
2021-07-05,37.279999,37.459999,37.209999,37.330002,37.330002,117853
2021-07-06,37.400002,37.400002,36.599998,36.770000,36.770000,200597
2021-07-07,36.849998,37.009998,36.049999,36.200001,36.200001,164942
2021-07-08,35.970001,36.240002,35.660000,36.000000,36.000000,300357
2021-07-09,36.110001,36.410000,35.919998,36.139999,36.139999,215948
2021-07-12,36.230000,36.770000,35.919998,36.599998,36.599998,241578
2021-07-13,36.610001,36.680000,36.270000,36.320000,36.320000,158750
2021-07-14,36.250000,36.490002,36.160000,36.310001,36.310001,133770
2021-07-15,36.230000,36.299999,35.779999,35.939999,35.939999,188644
2021-07-16,35.910000,36.410000,35.799999,36.049999,36.049999,219569
2021-07-19,35.950001,35.950001,34.290001,34.500000,34.500000,332776
2021-07-20,34.490002,34.560001,33.090000,33.610001,33.610001,321989
2021-07-21,33.740002,34.220001,33.680000,33.840000,33.840000,230800
2021-07-22,33.880001,34.119999,33.400002,33.490002,33.490002,265558
2021-07-23,33.529999,33.639999,33.369999,33.389999,33.389999,287423
2021-07-26,33.320000,34.340000,33.279999,34.230000,34.230000,299217
2021-07-27,34.230000,34.450001,34.080002,34.220001,34.220001,189715
2021-07-28,34.220001,34.369999,33.790001,33.869999,33.869999,218530
2021-07-29,33.900002,34.380001,33.900002,34.000000,34.000000,233273
2021-07-30,33.869999,34.130001,33.709999,33.820000,33.820000,211489
2021-08-02,33.930000,34.130001,33.529999,33.570000,33.570000,245056
2021-08-03,33.580002,34.060001,33.470001,33.610001,33.610001,166120
